city,term,search_interest
Andaman and Nicobar Islands,air quality,27
Andhra Pradesh,air quality,25
Arunachal Pradesh,air quality,32
Assam,air quality,22
Bihar,air quality,15
Chandigarh,air quality,21
Chhattisgarh,air quality,27
Dadra and Nagar Haveli,air quality,21
Daman and Diu,air quality,24
Delhi,air quality,12
Goa,air quality,24
Gujarat,air quality,23
Haryana,air quality,14
Himachal Pradesh,air quality,30
Jammu and Kashmir,air quality,36
Jharkhand,air quality,29
Karnataka,air quality,24
Kerala,air quality,28
Lakshadweep,air quality,0
Madhya Pradesh,air quality,18
Maharashtra,air quality,23
Manipur,air quality,31
Meghalaya,air quality,29
Mizoram,air quality,30
Nagaland,air quality,35
Odisha,air quality,19
Puducherry,air quality,26
Punjab,air quality,25
Rajasthan,air quality,21
Sikkim,air quality,30
Tamil Nadu,air quality,26
Telangana,air quality,26
Tripura,air quality,25
Uttar Pradesh,air quality,15
Uttarakhand,air quality,19
West Bengal,air quality,22
